x-axis,1,2,3
second,Volt,Volt,Volt
+29.07000E-03,+850.00002E-03,+562.50000E-03,+474.49994E-03
+29.08000E-03,+1.25625002E+00,+437.50000E-03,+474.49994E-03
+29.09000E-03,+1.78750002E+00,+718.75000E-03,+818.24994E-03
+29.10000E-03,+2.19375002E+00,+1.18750000E+00,+1.41199994E+00
+29.11000E-03,+2.47500002E+00,+1.84375000E+00,+2.13074994E+00
+29.12000E-03,+2.47500002E+00,+2.46875000E+00,+2.66199994E+00
+29.13000E-03,+2.19375002E+00,+2.81250000E+00,+2.88074994E+00
+29.14000E-03,+1.66250002E+00,+2.78125000E+00,+2.72449994E+00
+29.15000E-03,+1.19375002E+00,+2.37500000E+00,+2.19324994E+00
+29.16000E-03,+818.75002E-03,+1.78125000E+00,+1.53699994E+00
+29.17000E-03,+662.50002E-03,+1.12500000E+00,+849.49994E-03
+29.18000E-03,+850.00002E-03,+625.00000E-03,+505.74994E-03
+29.19000E-03,+1.22500002E+00,+437.50000E-03,+474.49994E-03
+29.20000E-03,+1.78750002E+00,+625.00000E-03,+786.99994E-03
+29.21000E-03,+2.25625002E+00,+1.15625000E+00,+1.44324994E+00
+29.22000E-03,+2.47500002E+00,+1.84375000E+00,+2.16199994E+00
+29.23000E-03,+2.44375002E+00,+2.46875000E+00,+2.66199994E+00
+29.24000E-03,+2.13125002E+00,+2.81250000E+00,+2.88074994E+00
+29.25000E-03,+1.63125002E+00,+2.75000000E+00,+2.66199994E+00
+29.26000E-03,+1.10000002E+00,+2.31250000E+00,+2.13074994E+00
+29.27000E-03,+756.25002E-03,+1.65625000E+00,+1.41199994E+00
+29.28000E-03,+693.75002E-03,+1.00000000E+00,+755.74994E-03
+29.29000E-03,+975.00002E-03,+531.25000E-03,+443.24994E-03
+29.30000E-03,+1.44375002E+00,+437.50000E-03,+474.49994E-03
+29.31000E-03,+2.00625002E+00,+781.25000E-03,+974.49994E-03
+29.32000E-03,+2.38125002E+00,+1.37500000E+00,+1.59949994E+00
+29.33000E-03,+2.50625002E+00,+2.12500000E+00,+2.34949994E+00
+29.34000E-03,+2.28750002E+00,+2.62500000E+00,+2.84949994E+00
